operation_uid,api_name,method,path,operation_id,summary,description,parameters_count,has_request_body,response_codes,source_file
spotify_GET_albums,spotify,GET,/albums,get-multiple-albums,"Get Several Albums
","Get Spotify catalog information for multiple albums identified by their Spotify IDs.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_albums_id,spotify,GET,/albums/{id},get-an-album,"Get Album
","Get Spotify catalog information for a single album.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_albums_id_tracks,spotify,GET,/albums/{id}/tracks,get-an-albums-tracks,"Get Album Tracks
","Get Spotify catalog information about an album’s tracks.
Optional parameters can be used to limit the number of tracks returned.
",4,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_artists,spotify,GET,/artists,get-multiple-artists,"Get Several Artists
","Get Spotify catalog information for several artists based on their Spotify IDs.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_artists_id,spotify,GET,/artists/{id},get-an-artist,"Get Artist
","Get Spotify catalog information for a single artist identified by their unique Spotify ID.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_artists_id_albums,spotify,GET,/artists/{id}/albums,get-an-artists-albums,"Get Artist's Albums
","Get Spotify catalog information about an artist's albums.
",5,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_artists_id_related_artists,spotify,GET,/artists/{id}/related-artists,get-an-artists-related-artists,"Get Artist's Related Artists
","Get Spotify catalog information about artists similar to a given artist. Similarity is based on analysis of the Spotify community's [listening history](http://news.spotify.com/se/2010/02/03/related-artists/).
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_artists_id_top_tracks,spotify,GET,/artists/{id}/top-tracks,get-an-artists-top-tracks,"Get Artist's Top Tracks
","Get Spotify catalog information about an artist's top tracks by country.
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_audio_analysis_id,spotify,GET,/audio-analysis/{id},get-audio-analysis,"Get Track's Audio Analysis
","Get a low-level audio analysis for a track in the Spotify catalog. The audio analysis describes the track’s structure and musical content, including rhythm, pitch, and timbre.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_audio_features,spotify,GET,/audio-features,get-several-audio-features,"Get Tracks' Audio Features
","Get audio features for multiple tracks based on their Spotify IDs.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_audio_features_id,spotify,GET,/audio-features/{id},get-audio-features,"Get Track's Audio Features
","Get audio feature information for a single track identified by its unique
Spotify ID.
",1,False,200|401|403|429,datasets\openapi\spotify\openapi.json
spotify_GET_audiobooks,spotify,GET,/audiobooks,get-multiple-audiobooks,"Get Several Audiobooks
","Get Spotify catalog information for several audiobooks identified by their Spotify IDs.<br />
**Note: Audiobooks are only available for the US, UK, Ireland, New Zealand and Australia markets.**
",2,False,200|401|403|429,datasets\openapi\spotify\openapi.json
